,avg_fit_time,avg_score_time,avg_test_score,avg_train_score,colsample_bytree,gamma,learning_rate,reg_lambda
2,479.17766694426535,,-0.37939336332100365,,0.5,1.8261891496089506,0.12705821848780643,1.0
7,479.17766694426535,,-0.38033025751455984,,0.5,3.0,0.13569184286433178,1.0
29,479.17766694426535,,-0.3807270368111223,,0.5,3.0,0.16417783345385814,1.0
26,479.17766694426535,,-0.3807772658457409,,0.5,3.0,0.12824878964072545,1.0
25,479.17766694426535,,-0.38136175540957623,,1.0,3.0,0.14033245544083428,1.0
15,479.17766694426535,,-0.38147597764708574,,0.5403550681877227,0.0,0.1328731230930153,1.0
13,479.17766694426535,,-0.3817354416993239,,0.5,3.0,0.21738723644063657,1.0
18,479.17766694426535,,-0.38236254675648335,,1.0,3.0,0.20731351948580515,1.0
37,479.17766694426535,,-0.38316508116544523,,0.9085839665503611,0.35871183851697264,0.1292140700401854,0.23142895674854727
36,479.17766694426535,,-0.38514305670243093,,0.5471476734413645,2.812446297945706,0.2402132510936303,0.5153642226165147
19,479.17766694426535,,-0.38546096102569355,,1.0,3.0,0.26633196830617717,1.0
3,479.17766694426535,,-0.3856081904710679,,0.5,0.0,0.09123167454827061,0.0
14,479.17766694426535,,-0.38563211280278364,,1.0,3.0,0.1287171405604236,0.0
22,479.17766694426535,,-0.3857658963194815,,0.5,0.0,0.19623967904037024,1.0
11,479.17766694426535,,-0.38617696265552576,,0.5,3.0,0.2881556172392053,1.0
33,479.17766694426535,,-0.3866022508662535,,0.9112019597600804,0.7546105120777102,0.2231125163474461,0.4350673028884038
5,479.17766694426535,,-0.38699280183839896,,0.5,3.0,0.20155248582647883,0.0
23,479.17766694426535,,-0.3879408066568667,,1.0,3.0,0.18582838568377175,0.0
35,479.17766694426535,,-0.38816450562048066,,0.8773570613314691,1.1078811091565648,0.28632110691481266,0.7188377411421958
34,479.17766694426535,,-0.38842062392891014,,0.6922595613922758,2.2682199648187553,0.31218266391035093,0.7450166465051309
30,479.17766694426535,,-0.3891162207422943,,0.5843251336748987,2.9883908769489342,0.3428451257778566,0.7370818904272708
39,479.17766694426535,,-0.38951684340283965,,0.8380017538350077,1.500686590512708,0.3450751569718325,0.9550599794655681
24,479.17766694426535,,-0.3898869811291407,,0.5,0.0,0.14253400400677582,0.0
16,479.17766694426535,,-0.3904617345360337,,0.5,2.773640105847333,0.2737582982440389,0.0
17,479.17766694426535,,-0.39058194654011635,,1.0,3.0,0.36981512575280645,1.0
12,479.17766694426535,,-0.3906329274492166,,0.6096439256814329,1.313018629559423,0.3538196041703761,0.8956888449681443
1,479.17766694426535,,-0.3910888819411238,,1.0,0.0,0.11678093114699684,0.0
10,479.17766694426535,,-0.39200456416556667,,0.7149511831537304,2.9289747164117115,0.4,0.9266916253829244
21,479.17766694426535,,-0.3922249757275403,,0.5,0.0,0.2526402546439945,1.0
31,479.17766694426535,,-0.3924024982961092,,0.8344819601637543,1.9252475590363511,0.34758621665840306,0.4363318974967797
32,479.17766694426535,,-0.3944261138197268,,0.8632898652501145,2.034918927999202,0.38917420829142096,0.573762092104911
27,479.17766694426535,,-0.39539318545441876,,1.0,0.0,0.15535210771439598,0.0
8,479.17766694426535,,-0.4008092785090427,,0.5,3.0,0.38822240119796814,0.0
20,479.17766694426535,,-0.40352582061687,,0.5,0.0,0.37136239325189324,1.0
28,479.17766694426535,,-0.40466449442566976,,1.0,0.0,0.24600863762042385,0.0
9,479.17766694426535,,-0.4103059574512405,,1.0,0.0,0.4,1.0
0,479.17766694426535,,-0.41110867022109365,,0.5,0.0,0.3158268483183623,0.0
4,479.17766694426535,,-0.4123347538663734,,0.7899171570339732,0.0,0.4,0.43424511884088174
38,479.17766694426535,,-3.0336550304702827,,0.6443621536784332,0.9679123408990602,0.011477831499830605,0.4268848737452152
6,479.17766694426535,,-5.671704153581832,,0.5,3.0,0.0010000000000000009,1.0
